21.10852,
12.65472,
13.30616,
12.89547,
12.85762,
12.60612,
12.36375,
11.49842,
11.64313,
11.4396,
11.94867,
12.06234,
11.37292,
11.65805,
12.14312,
11.28231,
11.71971,
11.28949,
11.38104,
11.76333,
11.5522,
11.78598,
11.53493,
11.63092,
11.38226,
11.4422,
11.64621,
11.45397,
11.22124,
11.16066,
11.48555,
11.28473,
11.60831,
11.73133,
11.45695,
11.48461,
11.88718,
11.90106,
12.03499,
15.27488,
13.09513,
12.98649,
12.23983,
12.45913,
11.98843,
11.58039,
12.66623,
12.64555,
12.12728,
12.01896,
21.17967,
13.63778,
12.85459,
13.01795,
11.96223,
12.13214,
12.35332,
11.98198,
12.34352,
11.63148,
12.11039,
12.27498,
13.24691,
11.81933,
12.23342,
12.65806,
12.32239,
12.56262,
12.24078,
12.19361,
12.4947,
12.19961,
12.0702,
12.0118,
11.77379,
11.68014,
12.69048,
12.58647,
11.75244,
12.27168,
12.22498,
11.98035,
12.66122,
12.29089,
11.94222,
11.80749,
12.21115,
12.06132,
12.08133,
11.93481,
12.01166,
12.67502,
12.39915,
12.56101,
12.44119,
11.81852,
12.45583,
11.89333,
12.53023,
12.82224,
22.31633,
13.47854,
12.71975,
12.55303,
12.05256,
12.3202,
11.95496,
13.06616,
11.99235,
12.40358,
11.99681,
11.83557,
12.11019,
11.65122,
11.98257,
12.36434,
12.06178,
11.92583,
12.50097,
11.89675,
11.56444,
11.70828,
11.61504,
11.6956,
11.73193,
12.03267,
11.69151,
11.62541,
12.24057,
11.81392,
11.77602,
11.89837,
11.81266,
11.65707,
11.96277,
11.37735,
13.04086,
12.96634,
12.39214,
12.29195,
12.24615,
12.09963,
11.9576,
12.42467,
15.14847,
13.80371,
12.56217,
12.46483,
12.58904,
12.31658,
