119.0585,
87.38541,
91.21644,
70.61617,
97.46971,
79.68839,
70.00353,
79.27473,
70.10011,
96.03125,
81.77268,
86.87664,
69.7512,
77.7497,
82.06586,
71.74609,
75.57998,
71.4414,
75.33497,
70.05341,
87.10437,
92.5462,
87.80372,
69.58897,
127.7479,
106.2702,
85.86692,
82.90288,
89.65939,
53.40019,
50.9244,
89.30442,
99.59883,
105.4373,
119.4968,
77.14573,
100.4717,
49.51213,
87.84835,
60.56371,
92.50493,
75.8353,
42.17136,
107.7668,
100.7077,
50.06956,
79.24261,
64.28856,
100.3252,
94.81869,
79.15969,
93.58157,
118.8989,
100.5091,
88.2367,
75.1425,
112.2363,
64.21645,
73.91032,
81.20178,
84.08391,
127.7786,
71.69856,
81.89452,
86.70226,
84.55914,
114.4279,
96.20035,
86.05257,
87.11431,
83.98779,
95.51714,
56.12378,
99.77954,
84.91377,
95.31088,
94.79816,
87.3176,
92.13368,
85.64342,
76.3462,
112.898,
93.8559,
100.2376,
64.14996,
98.69463,
65.10378,
98.3336,
80.12259,
49.44857,
100.1346,
97.23763,
91.3047,
113.6003,
85.27861,
83.77216,
97.5353,
102.6284,
81.74529,
87.19453,
176.2672,
107.3752,
128.4498,
86.92617,
101.9935,
